,40-ft bus risk,60-ft bus risk,,,,,
1,0.00069,0.00038,0.069,0.038,,,
2,0.00245,0.00163,0.1225,0.0815,,,
3,0.00528,0.0038,0.176,0.126666667,,,
4,0.01013,0.00646,0.25325,0.1615,,,
5,0.01595,0.01032,0.319,0.2064,,,
6,0.02254,0.01513,0.375666667,0.252166667,,,
7,0.03014,0.01993,0.430571429,0.284714286,,,
8,0.0385,0.02645,0.48125,0.330625,,,
9,0.05043,0.03357,0.560333333,0.373,,,
10,0.06256,0.04139,0.6256,0.4139,,,
11,0.07541,0.04994,0.685545455,0.454,,,
12,0.08867,0.06008,0.738916667,0.500666667,,,
13,0.10554,0.0693,0.811846154,0.533076923,,,
14,0.12344,0.08334,0.881714286,0.595285714,,,
15,0.14162,0.0942,0.944133333,0.628,,,
16,0.15909,0.10626,0.9943125,0.664125,,,
17,0.17963,0.12143,1.056647059,0.714294118,,,
18,0.20056,0.13609,1.114222222,0.756055556,,,
19,0.22517,0.15221,1.185105263,0.801105263,,,
20,0.25039,0.16651,1.25195,0.83255,,,
21,0.2789,0.18482,1.328095238,0.880095238,,,
22,0.30565,0.20238,1.389318182,0.919909091,,,1.05
23,0.33025,0.21858,1.435869565,0.950347826,,,
24,0.35722,0.2401,1.488416667,1.000416667,,,
25,0.39022,0.26154,1.56088,1.04616,,,
26,0.42025,0.28073,1.616346154,1.079730769,,,
27,0.45204,0.30506,1.674222222,1.129851852,,0.93,
28,0.48774,0.32686,1.741928571,1.167357143,,,
29,0.52577,0.34845,1.813,1.201551724,,,
30,0.56148,0.37574,1.8716,1.252466667,,,
31,0.60264,0.39616,1.944,1.277935484,,,
32,0.63667,0.42856,1.98959375,1.33925,,,
33,0.67541,0.45487,2.04669697,1.378393939,,,
34,0.71503,0.48024,2.103029412,1.412470588,,,
35,0.76055,0.51058,2.173,1.4588,,,
36,0.799,0.53762,2.219444444,1.493388889,,,
37,0.84229,0.56746,2.276459459,1.533675676,,,
38,0.89503,0.5955,2.355342105,1.567105263,,,
39,0.94188,0.63728,2.415076923,1.634051282,,,
40,0.99108,0.66185,2.4777,1.654625,,,
