Unnamed: 0.1,Base Scenario,1.5 over capacity,halfway to Pre-pandemic ridership,half Covid rate,Double Covid rate,lower-bound AV cost,upper-bound AV cost,lower-bound SCC,upper-bound SCC,lower-bound VSL,upper-bound VSL
infections C1,121.03,149.96,310.53,60.26,394.48,121.03,121.03,121.03,121.03,121.03,121.03
infections C2,86.1,101.28,126.55,42.92,273.18,86.1,86.1,86.1,86.1,86.1,86.1
infections C3,71.14,71.29,111.22,35.19,232.41,71.14,71.14,71.14,71.14,71.14,71.14
infections C4,83.19,103.32,213.71,41.38,270.93,83.19,83.19,83.19,83.19,83.19,83.19
first_degree_infections,117.4,145.46,301.22,58.45,382.64,117.4,117.4,117.4,117.4,117.4,117.4
first_degree_infections,83.52,98.24,122.75,41.63,264.99,83.52,83.52,83.52,83.52,83.52,83.52
first_degree_infections,69,69.15,107.88,34.13,225.44,69,69,69,69,69,69
first_degree_infections,80.69,100.22,207.29,40.14,262.8,80.69,80.69,80.69,80.69,80.69,80.69
AV total mileage,2013172.26,3020051.74,8005750.424,2013526.02,2013197.58,2013172.26,2013172.26,2013172.26,2013172.26,2013172.26,2013172.26
SCC C1,316338.95,316338.95,316338.95,316338.95,316338.95,316338.95,316338.95,86715.72,943467.04,316338.95,316338.95
SCC C2,581991.2,581991.2,581991.2,581991.2,581991.2,581991.2,581991.2,159537.06,1735763.23,581991.2,581991.2
SCC C3,362641.91,385800.14,362650.28,362650.05,362642.49,362641.91,362641.91,99398.71,1082174.61,362641.91,362641.91
SCC C4,466648.82,466648.82,466648.82,466648.82,466648.82,466648.82,466648.82,127919.09,1391759.65,466648.82,466648.82
OM C1,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41
OM C2,31489188.81,31489188.81,31489188.81,31489188.81,44879788.44,31489188.81,31489188.81,31489188.81,31489188.81,31489188.81,31489188.81
OM C3,19303142.33,20430847.35,26014829.88,19303538.55,19303170.7,18356951.37,22020924.88,19303142.33,19303142.33,19303142.33,19303142.33
OM C4,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41,17048389.41
deaths C1,4.14,5.13,10.62,2.06,13.49,4.14,4.14,4.14,4.14,4.14,4.14
deaths C2,2.94,6.15,11.14,2.33,14.89,2.94,2.94,2.94,2.94,2.94,2.94
deaths C3,2.43,2.44,3.8,1.2,7.95,2.43,2.43,2.43,2.43,2.43,2.43
deaths C4,2.85,3.53,7.31,1.42,9.27,2.85,2.85,2.85,2.85,2.85,2.85
VSL C1,20907576.01,25904029.26,53642947.4,10408874.52,68143441.04,20907576.01,20907576.01,20907576.01,20907576.01,5538375.91,48015815.04
VSL C2,14873621.11,31084973.3,56290425.01,11744532.67,75186740.31,14873621.11,14873621.11,14873621.11,14873621.11,3939993.08,34158385.44
VSL C3,12288331.41,12314415.79,19212609.92,6078004.68,40147306.78,12288331.41,12288331.41,12288331.41,12288331.41,3255154.91,28221073.92
VSL C4,14370590,17847758,36916299.26,7147809.51,46801413.36,14370590,14370590,14370590,14370590,3806741.12,33003136.8
externalities C1,511676.34,511676.34,511676.34,511676.34,511676.34,511676.34,511676.34,511676.34,511676.34,511676.34,511676.34
externalities C2,941957.58,941957.58,941957.58,941957.58,941957.58,941957.58,941957.58,941957.58,941957.58,941957.58,941957.58
externalities C3,773388.74,904283.07,773436.05,773434.72,773392.03,773388.74,773388.74,773388.74,773388.74,773388.74,773388.74
externalities C4,562843.98,562843.98,562843.98,562843.98,562843.98,562843.98,562843.98,562843.98,562843.98,562843.98,562843.98
total C1,38783980.71,43780433.95,71519352.1,28285279.21,86019845.74,38783980.71,38783980.71,38554357.48,39411108.8,23414780.6,65892219.74
total C2,47886758.7,64098110.89,89303562.6,44757670.26,121590477.5,47886758.7,47886758.7,47464304.56,49040530.73,36953130.67,67171523.03
total C3,32727504.39,34035346.34,48618686.7,26517628,60586512,31781313.43,35445286.94,32464261.19,33447037.09,23694327.89,48660246.9
total C4,32448472.21,35925640.21,54994181.47,25225691.71,64879295.57,32448472.21,32448472.21,32109742.47,33373583.03,21884623.33,51081019.01
VSL D1 C1,20280348.73,25126908.38,52033658.98,10096608.28,66099137.81,20280348.73,20280348.73,20280348.73,20280348.73,5372224.63,46575340.59
VSL D1 C2,14427412.48,16970499.04,21204284.91,7191252.95,45774887.86,14427412.48,14427412.48,14427412.48,14427412.48,3821793.29,33133633.88
VSL D1 C3,11919681.47,11944983.31,18636231.63,5895664.54,38942887.57,11919681.47,11919681.47,11919681.47,11919681.47,3157500.26,27374441.7
VSL D1 C4,13939472.3,17312325.26,35808810.28,6933375.22,45397370.96,13939472.3,13939472.3,13939472.3,13939472.3,3692538.89,32013042.7
total D1 C1,59064329.44,68907342.33,123553011.1,38381887.49,152118983.6,59064329.44,59064329.44,58834706.21,59691457.53,28787005.23,112467560.3
total D1 C2,62314171.18,81068609.93,110507847.5,51948923.21,167365365.4,62314171.18,62314171.18,61891717.04,63467943.21,40774923.96,100305156.9
total D1 C3,44647185.86,45980329.65,67254918.33,32413292.54,99529399.57,43700994.9,47364968.41,44383942.66,45366718.56,26851828.15,76034688.6
total D1 C4,46387944.51,53237965.47,90802991.75,32159066.93,110276666.5,46387944.51,46387944.51,46049214.77,47313055.33,25577162.22,83094061.71
