,infections C1,infections C2,infections C3,infections C4,AV total mileage,SCC C1,SCC C2,SCC C3,SCC C4,OM C1,OM C3,OM C4,deaths C1,deaths C2,deaths C3,deaths C4,VSL C1,VSL C2,VSL C3,VSL C4,externalities C1,externalities C2,externalities C3,externalities C4,OM C2,total C1,total C2,total C3,total C4
0,137,87,60,109,2021365.787391139,316338.94800588477,632677.8960117695,361415.40506470716,466648.824126528,17048389.40668889,18867618.61534092,17048389.40668889,4.6854000000000005,2.9754,2.052,3.7278000000000002,54350640.00000001,34514640.0,23803200.0,43242480.0,170558.78074799996,341117.5614959999,372695.3594871139,170558.78074799996,34096778.81337778,71885927.13544278,69585214.27088556,43404929.379892744,60928077.01156342
1,121,73,65,79,2019472.603775102,316338.94800588477,632677.8960117695,361373.18707006954,466648.824126528,17048389.40668889,18865914.750086483,17048389.40668889,4.1382,2.4966,2.223,2.7018,48003120.00000001,28960560.0,25786800.0,31340880.0,170558.78074799996,341117.5614959999,372506.0411255102,170558.78074799996,34096778.81337778,65538407.135442786,64031134.27088555,45386593.97828207,49026477.01156342
2,136,77,61,72,2012019.8290818583,316338.94800588477,632677.8960117695,361206.9901944102,466648.824126528,17048389.40668889,18859207.252862565,17048389.40668889,4.6512,2.6334,2.0862000000000003,2.4624,53953920.0,30547440.0,24199920.000000004,28563840.0,170558.78074799996,341117.5614959999,371760.7636561858,170558.78074799996,34096778.81337778,71489207.13544278,65618014.27088555,43792095.00671317,46249437.01156342
3,141,85,68,100,2008325.599096283,316338.94800588477,632677.8960117695,361124.60886573186,466648.824126528,17048389.40668889,18855882.445875548,17048389.40668889,4.8222000000000005,2.907,2.3256,3.42,55937520.00000001,33721200.0,26976960.0,39672000.0,170558.78074799996,341117.5614959999,371391.34065762826,170558.78074799996,34096778.81337778,73472807.13544278,68791774.27088556,46565358.39539891,57357597.01156342
4,115,90,74,88,2021674.7159473097,316338.94800588477,632677.8960117695,361422.2941715098,466648.824126528,17048389.40668889,18867896.65104147,17048389.40668889,3.9330000000000003,3.0780000000000003,2.5308,3.0096000000000003,45622800.0,35704800.0,29357280.000000004,34911360.0,170558.78074799996,341117.5614959999,372726.25234273094,170558.78074799996,34096778.81337778,63158087.13544278,70775374.27088556,48959325.19755572,52596957.01156342
5,132,84,77,71,2007483.3275869598,316338.94800588477,632677.8960117695,361105.82621107396,466648.824126528,17048389.40668889,18855124.401517157,17048389.40668889,4.5144,2.8728000000000002,2.6334,2.4282,52367040.0,33324480.000000004,30547440.0,28167120.0,170558.78074799996,341117.5614959999,371307.11350669595,170558.78074799996,34096778.81337778,69902327.13544278,68395054.27088556,50134977.34123492,45852717.01156342
6,142,82,64,102,2024009.6337878613,316338.94800588477,632677.8960117695,361474.3628393541,466648.824126528,17048389.40668889,18869998.077097967,17048389.40668889,4.8564,2.8044000000000002,2.1888,3.4884,56334240.0,32531040.000000004,25390080.0,40465440.0,170558.78074799996,341117.5614959999,372959.7441267861,170558.78074799996,34096778.81337778,73869527.13544278,67601614.27088556,44994512.18406411,58151037.01156342
7,103,87,63,70,2011208.4833422152,316338.94800588477,632677.8960117695,361188.8971844162,466648.824126528,17048389.40668889,18858477.041696884,17048389.40668889,3.5226,2.9754,2.1546000000000003,2.394,40862160.0,34514640.0,24993360.000000004,27770400.0,170558.78074799996,341117.5614959999,371679.6290822215,170558.78074799996,34096778.81337778,58397447.13544278,69585214.27088556,44584705.567963526,45455997.01156342
8,145,63,57,84,2025078.5474751694,316338.94800588477,632677.8960117695,361498.19961458107,466648.824126528,17048389.40668889,18870960.099416543,17048389.40668889,4.9590000000000005,2.1546000000000003,1.9494,2.8728000000000002,57524400.00000001,24993360.000000004,22613040.0,33324480.000000004,170558.78074799996,341117.5614959999,373066.63549551694,170558.78074799996,34096778.81337778,75059687.13544278,60063934.27088555,42218564.93452664,51010077.01156343
9,104,95,79,81,2004410.6163185246,316338.94800588477,632677.8960117695,361037.30474978784,466648.824126528,17048389.40668889,18852358.961375564,17048389.40668889,3.5568,3.249,2.7018,2.7702,41258880.0,37688400.0,31340880.0,32134320.0,170558.78074799996,341117.5614959999,370999.84237985243,170558.78074799996,34096778.81337778,58794167.13544278,72758974.27088556,50925276.108505204,49819917.01156342
